"Suburb","Address","Rooms","Type","Price","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea"
"Brunswick","52 Evans St",3,"h",1650000,"S","Nelson",5.2,"3056",3,1,2,495,141,1920,"Moreland"
"Reservoir","85 Radford Rd",5,"h",791000,"S","Ray",11.2,"3073",4,3,1,961,NA,NA,"Darebin"
"Newport","99 Anderson St",3,"h",785000,"S","RT",8.4,"3015",3,1,1,185,NA,NA,"Hobsons Bay"
"Brighton East","4/377 South Rd",2,"u",755000,"SP","Buxton",10.7,"3187",NA,NA,NA,NA,NA,NA,""
"Hawthorn East","3 Jaques St",5,"h",2500000,"VB","RT",7.5,"3123",5,3,3,757,240,1925,"Boroondara"
"Hawthorn East","75 Leura Gr",3,"h",3020000,"S","Hooper",7.5,"3123",3,2,2,832,NA,NA,"Boroondara"
"Bentleigh East","4 Adrian St",3,"h",780000,"VB","hockingstuart",13.9,"3165",3,1,1,710,NA,1966,"Glen Eira"
"Surrey Hills","47 Suffolk Rd",3,"h",2200000,"VB","Fletchers",11.2,"3127",3,2,4,816,NA,NA,"Boroondara"
"Keilor East","37a Heather Av",4,"h",760000,"PI","Nelson",12.8,"3033",NA,NA,NA,NA,NA,NA,""
"Mont Albert","50/781 Whitehorse Rd",2,"u",750000,"S","RW",11.8,"3127",2,2,2,0,80,2003,"Whitehorse"
"Mont Albert","1a Hotham Ct",3,"t",1150000,"PI","Jellis",11.8,"3127",NA,NA,NA,NA,NA,NA,""
"Carnegie","3/13 Emily St",2,"u",510000,"S","Marshall",11.4,"3163",2,1,1,0,69,1970,"Glen Eira"
"South Yarra","402/89 River St",2,"u",801000,"S","Biggin",3.3,"3141",2,2,1,0,NA,2000,"Stonnington"
"Brunswick","61 Evans St",2,"h",1105000,"S","Nelson",5.2,"3056",2,1,1,147,NA,NA,"Moreland"
"Hadfield","148 West St",4,"h",600500,"S","YPA",12.1,"3046",4,2,1,462,161,1970,"Moreland"
"Thornbury","137 Mansfield St",3,"h",2040000,"S","Barry",6.5,"3071",NA,NA,NA,NA,NA,NA,""
"West Footscray","2/30 Fontein St",2,"u",545000,"SP","Biggin",8.2,"3012",2,1,1,154,2,2005,"Maribyrnong"
"Camberwell","9a Russell St",2,"h",1800000,"PI","Marshall",7.8,"3124",2,1,4,368,NA,NA,"Boroondara"
"Heidelberg Heights","11 Sackville St",4,"h",1000500,"S","Miles",10.5,"3081",4,2,1,592,191,1950,"Banyule"
"Balwyn","9/11 Parring Rd",2,"u",805000,"S","Noel",9.7,"3103",3,1,1,209,NA,1975,"Boroondara"
"Preston","5/492 Murray Rd",2,"u",540000,"SP","hockingstuart",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"Glenroy","42 Sadie St",3,"h",822000,"S","Stockdale",13,"3046",3,1,4,700,105,1950,"Moreland"
"Surrey Hills","212 Union Rd",4,"h",2050000,"VB","Jellis",11.2,"3127",3,2,2,949,293,1910,"Boroondara"
"Brighton","2/422 St Kilda St",3,"t",1475000,"PI","Buxton",11.2,"3186",3,2,2,345,163,2000,"Bayside"
"Fitzroy","11 Henry St",2,"h",677000,"S","Chambers",1.6,"3065",2,1,0,67,NA,1850,"Yarra"
"Kew","47 Brougham St",3,"h",1668000,"S","Caine",5.6,"3101",3,2,2,289,NA,NA,"Boroondara"
"Brighton","17 New St",3,"h",1900000,"S","Marshall",11.2,"3186",3,0,0,0,NA,NA,"Bayside"
"Flemington","3/39 Dover St",2,"u",395000,"PI","Rendina",4.4,"3031",2,1,1,0,60,1970,"Moonee Valley"
"Murrumbeena","21 Ardyne St",4,"h",1610000,"S","Ray",12.1,"3163",4,2,2,660,167,1920,"Glen Eira"
"Bentleigh East","1/6 Brad St",1,"u",380000,"S","hockingstuart",13.9,"3165",1,1,1,0,99,1970,"Glen Eira"
"Airport West","3/7 South Rd",3,"t",540000,"SP","Nelson",13.5,"3042",2,2,1,161,101,2010,"Moonee Valley"
"Brighton East","12 Meyer Ct",4,"h",1825000,"PI","Buxton",10.7,"3187",4,3,2,594,594,1973,"Bayside"
"Sunshine","34 Ernest St",4,"h",890000,"S","Sweeney",12.6,"3020",4,1,2,668,127,1930,"Brimbank"
"Toorak","22/530 Toorak Rd",2,"u",531000,"S","Morleys",4.6,"3142",2,1,1,0,NA,NA,"Stonnington"
"Malvern","203/1 Norfolk Pl",2,"u",710000,"VB","Jellis",7.4,"3144",NA,NA,NA,NA,NA,NA,""
"Pascoe Vale","2/22 Joffre Rd",3,"u",585000,"S","Jellis",9.9,"3044",3,1,1,180,98,2009,"Moreland"
"Templestowe Lower","315 Thompsons Rd",3,"h",1290000,"S","Barry",13.8,"3107",3,1,2,900,125,1960,"Manningham"
"Coburg North","11 Spectrum Wy",4,"h",1050000,"S","hockingstuart",9.2,"3058",NA,NA,NA,NA,NA,NA,""
"Preston","28 Tynan St",3,"h",1000000,"S","Nelson",8.8,"3072",3,1,2,463,NA,NA,"Darebin"
"Brighton","72 William St",3,"h",1865000,"VB","hockingstuart",11.2,"3186",3,2,2,295,NA,NA,"Bayside"
"West Footscray","116 Essex St",3,"h",820000,"S","Sweeney",8.2,"3012",3,2,2,335,NA,NA,"Maribyrnong"
"Doncaster","36 Henry St",5,"h",1400000,"S","Jellis",13.9,"3108",5,3,2,656,320,1985,"Manningham"
"Bentleigh East","8a Bray Ct",2,"u",570000,"S","hockingstuart",13.9,"3165",2,1,1,145,NA,NA,"Glen Eira"
"Brighton East","244a South Rd",3,"h",930000,"SP","Marshall",10.7,"3187",3,1,1,329,117,1930,"Bayside"
"Hawthorn East","515/138 Camberwell Rd",2,"u",820000,"PI","RT",7.5,"3123",NA,NA,NA,NA,NA,NA,""
"St Kilda","9 Octavia St",2,"h",1100000,"VB","Whiting",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Ormond","7/21 Lillimur Rd",1,"u",447000,"S","Ray",11.8,"3204",1,1,1,0,NA,NA,"Glen Eira"
"Fitzroy North","276 McKean St",3,"h",2170000,"S","Nelson",3.5,"3068",3,2,1,177,NA,NA,"Yarra"
"Kew East","19 Woolcock Av",4,"h",1805000,"S","Jellis",7.5,"3102",NA,NA,NA,NA,NA,NA,""
"Sunshine","1 Walter St",4,"h",1030000,"S","Sweeney",12.6,"3020",4,2,2,803,309,2002,"Brimbank"
"Airport West","11 Harrington Rd",6,"h",725000,"SP","Barry",13.5,"3042",6,3,2,976,186,1980,"Moonee Valley"
"Albert Park","70 Barrett St",3,"h",2575000,"S","Greg",3.3,"3206",3,2,1,228,NA,NA,"Port Phillip"
"Preston","13 The Mews",3,"h",750000,"PI","hockingstuart",8.8,"3072",3,3,2,0,127,2005,"Darebin"
"East Melbourne","124 Powlett St",3,"h",3520000,"S","Jellis",1.5,"3002",2,2,3,364,NA,NA,"Melbourne"
"Coburg","196 Ohea St",3,"h",1061000,"S","Brad",7.8,"3058",3,1,1,527,NA,NA,"Moreland"
"Sunshine","158 Morris St",3,"h",580000,"S","GL",12.6,"3020",3,1,1,469,NA,NA,"Brimbank"
"St Kilda","71 Barkly St",5,"h",2000000,"VB","Wilson",6.1,"3182",5,2,2,436,NA,1910,"Port Phillip"
"Glen Huntly","8 Augusta St",3,"h",1330000,"S","Woodards",10.4,"3163",3,2,1,295,176,1930,"Glen Eira"
"Oak Park","44 Devereaux St",3,"h",706000,"PI","Eview",11.5,"3046",3,1,0,715,111,1960,"Moreland"
"Reservoir","129 Spring St",2,"h",623500,"S","Nelson",11.2,"3073",2,1,0,452,NA,NA,"Darebin"
"South Yarra","7/31 Kensington Rd",3,"u",740000,"S","Biggin",3.3,"3141",3,1,1,0,NA,1970,"Stonnington"
"Williamstown","28 Council La",3,"h",1560000,"SP","Greg",8,"3016",3,2,2,310,179,2005,"Hobsons Bay"
"Parkville","47/202 The Avenue",1,"u",395000,"SP","Woodards",2.6,"3052",1,1,1,2469,NA,NA,"Melbourne"
"Chadstone","3/10 Euroka St",3,"t",752000,"S","Buxton",13.6,"3148",3,2,1,182,NA,NA,"Monash"
"Thornbury","37 Lewis St",3,"h",995000,"S","Jellis",6.5,"3071",2,1,1,327,96,1920,"Darebin"
"Hawthorn","1/3 Clovelly Ct",2,"u",751000,"S","RT",4.6,"3122",2,1,1,711,NA,NA,"Boroondara"
"Glenroy","55 Daley St",3,"h",610000,"S","Walshe",13,"3046",3,1,3,640,144,1960,"Moreland"
"Ivanhoe","7 Dudley St",4,"h",1615000,"S","Miles",7.9,"3079",5,2,3,758,NA,NA,"Banyule"
"Burwood","37 Fulton Cr",3,"h",1495000,"S","Noel",11.7,"3125",NA,NA,NA,NA,NA,NA,""
"Avondale Heights","2/6 Nelson Ct",2,"t",585000,"S","Barry",10.5,"3034",2,1,1,136,NA,2012,"Moonee Valley"
"Coburg","57 Connolly Av",3,"u",782000,"S","Harcourts",7.8,"3058",NA,NA,NA,NA,NA,NA,""
"Elsternwick","12/66 Riddell Pde",2,"u",626000,"S","Gary",8.5,"3185",2,1,1,1764,100,1930,"Glen Eira"
"Ascot Vale","119 Roseberry St",2,"h",750000,"SP","Maddison",5.9,"3032",2,1,1,226,92,1920,"Moonee Valley"
"Brunswick","113 Glenlyon Rd",4,"h",1320000,"S","Nelson",5.2,"3056",4,2,1,281,156,1920,"Moreland"
"Brunswick","246 Victoria St",2,"h",890000,"S","Jellis",5.2,"3056",2,1,1,199,93,1900,"Moreland"
"Seddon","28 Lily St",3,"h",1310000,"S","Nelson",6.6,"3011",3,2,1,229,NA,NA,"Maribyrnong"
"Coburg North","2/26 Renown St",2,"u",532500,"S","Brad",9.2,"3058",2,1,1,168,NA,1970,"Moreland"
"Toorak","13 Ruabon Rd",2,"h",1300000,"VB","David",4.6,"3142",2,1,0,338,NA,NA,"Stonnington"
"Glenroy","1/26 York St",3,"t",600000,"VB","Nelson",13,"3046",3,1,2,258,143,2001,"Moreland"
"Moorabbin","1/17 Baker St",2,"u",639000,"S","Buxton/Find",14.6,"3189",2,1,1,83,79,1960,"Kingston"
"Fitzroy North","51 Rae St",2,"h",770000,"SA","Nicholson",3.5,"3068",2,2,1,134,151,1905,"Yarra"
"Preston","287 Tyler St",3,"h",1650000,"S","hockingstuart",8.8,"3072",3,1,2,452,129,1890,"Darebin"
"Altona","24 McIntyre Dr",3,"h",753000,"S","Barlow",13.8,"3018",3,2,2,529,NA,NA,"Hobsons Bay"
"Glenroy","65 Farview St",3,"h",762700,"SP","Stockdale",13,"3046",3,1,4,597,100,1960,"Moreland"
"Brunswick West","3/546 Moreland Rd",2,"u",370000,"S","Ray",5.9,"3055",2,1,1,2120,59,1960,"Moreland"
"Thornbury","13b Hammond St",3,"h",1470000,"S","McGrath",6.5,"3071",NA,NA,NA,NA,NA,NA,""
"Murrumbeena","14 Kinlock Av",3,"h",1180000,"SP","Thomson",12.1,"3163",NA,NA,NA,NA,NA,NA,""
"Essendon","6 Buckley St",3,"h",1425000,"S","Jellis",8,"3040",3,2,2,684,147,1950,"Moonee Valley"
"Richmond","48 Rooney St",3,"h",1820000,"S","Jellis",2.6,"3121",3,1,1,410,NA,1900,"Yarra"
"Essendon","21 Miller St",3,"h",1445000,"S","Nelson",8,"3040",3,2,1,400,168,1910,"Moonee Valley"
"Ormond","3/16 Wheeler St",3,"u",932000,"S","Woodards",11.8,"3204",3,2,1,180,92,1997,"Glen Eira"
"Glenroy","55 Fran St",5,"h",705000,"PI","Barry",13,"3046",5,3,2,612,NA,1970,"Moreland"
"Glen Iris","16 Flowerdale Rd",5,"h",2000000,"PI","Marshall",9.2,"3146",5,3,1,696,248,1920,"Boroondara"
"Moonee Ponds","4 Addison St",4,"h",1530000,"S","Jellis",6.9,"3039",3,2,1,431,152,1906,"Moonee Valley"
"Ivanhoe","1/100 St Elmo Rd",2,"u",450000,"S","Miles",7.9,"3079",2,1,1,0,NA,NA,"Banyule"
"Brunswick West","12/881 Park St",1,"u",300000,"SP","Grantham",5.9,"3055",1,1,0,0,37,1960,"Moreland"
"Hampton East","31 Warland Rd",3,"h",1471000,"S","McGrath",14.5,"3188",3,2,2,732,NA,NA,"Bayside"
"Balwyn North","45 Dempster Av",5,"h",1900000,"VB","Marshall",9.2,"3104",NA,NA,NA,NA,NA,NA,""
"Bentleigh East","27 Neville St",4,"h",1960000,"S","hockingstuart",13.9,"3165",4,2,4,601,NA,NA,"Glen Eira"
"Hawthorn","5/70 Power St",2,"u",690000,"S","Jellis",4.6,"3122",2,1,1,82,NA,NA,"Boroondara"
"Brunswick West","9/39 Heller St",1,"u",330000,"S","hockingstuart/Advantage",5.9,"3055",1,1,1,0,42,1970,"Moreland"
"Hampton East","2 Harry St",3,"h",1195000,"S","Ray",14.5,"3188",3,1,2,601,NA,NA,"Bayside"
"Ormond","2 Wimmera St",2,"h",1177000,"S","Thomson",11.8,"3204",2,1,2,452,105,1930,"Glen Eira"
"Sunshine North","86 Sandford Av",3,"h",545000,"S","Sweeney",13.3,"3020",NA,NA,NA,NA,NA,NA,""
"Caulfield East","75 Grange Rd",5,"h",1335000,"S","Gary",9.3,"3145",5,2,1,521,208,1915,"Glen Eira"
"North Melbourne","12/25 Byron St",1,"u",410000,"VB","Jellis",2.3,"3051",1,1,1,1045,55,2011,"Melbourne"
"Windsor","207/152 Peel St",2,"u",580000,"VB","Jellis",5.1,"3181",2,2,1,0,78,2012,"Port Phillip"
"Heidelberg West","38 Coomalie Cr",3,"h",687000,"S","William",9.4,"3081",NA,NA,NA,NA,NA,NA,""
"Braybrook","40 Errol St",3,"t",505000,"PI","Nelson",10.8,"3019",3,2,2,4931,NA,NA,"Maribyrnong"
"Bentleigh East","1/38 Kennedy St",4,"t",1045000,"S","Buxton",13.9,"3165",4,2,1,316,190,2010,"Glen Eira"
"Altona","3/20 Mulga St",3,"u",577000,"S","Williams",13.8,"3018",3,2,1,205,113,2007,"Hobsons Bay"
"Richmond","3 Type St",2,"h",1220000,"S","Jellis",2.6,"3121",2,1,1,219,NA,NA,"Yarra"
"Glen Iris","57 Brandon St",2,"h",1699000,"S","Jellis",9.2,"3146",3,1,2,653,NA,NA,"Boroondara"
"Moorabbin","118 Rowans Rd",3,"h",901000,"S","O'Brien",14.6,"3189",2,2,3,558,133,1955,"Kingston"
"Sunshine North","7 Charles St",3,"h",607000,"S","Douglas",13.3,"3020",3,1,2,575,NA,NA,"Brimbank"
"Strathmore","353a Mascoma St",3,"u",750000,"VB","Paul",9.7,"3041",NA,NA,NA,NA,NA,NA,""
"Toorak","1/21 Bruce St",1,"u",349000,"PI","Williams",4.6,"3142",1,1,1,0,38,1958,"Stonnington"
"Bentleigh","1/7 Railway Cr",4,"t",900000,"VB","Buxton",13,"3204",NA,NA,NA,NA,NA,NA,""
"Hawthorn East","3 Avenue Victoria",4,"h",1920000,"VB","Jellis",7.5,"3123",4,2,2,749,NA,NA,"Boroondara"
"Moonee Ponds","20 Railway Cr",2,"h",780000,"PI","Nelson",6.9,"3039",NA,NA,NA,NA,NA,NA,""
"Armadale","7/53 Wattletree Rd",1,"u",390000,"S","Jellis",6.3,"3143",1,1,0,881,NA,NA,"Stonnington"
"Carnegie","2/22 Kokaribb Rd",2,"u",465000,"S","Ray",11.4,"3163",2,1,1,0,56,1970,"Glen Eira"
"Ormond","35b Murray Rd",4,"t",1520000,"S","hockingstuart",11.8,"3204",NA,NA,NA,NA,NA,NA,""
"Watsonia","1/42 Wattle Dr",3,"h",582000,"S","Ken",14.9,"3087",3,1,0,302,90,1950,"Banyule"
"Carlton North","24/635 Drummond St",2,"u",570000,"S","hockingstuart",3.2,"3054",2,1,1,0,76,1975,"Yarra"
"Seddon","5 Williamstown Rd",2,"h",822500,"SP","Biggin",6.6,"3011",2,2,1,228,111,1930,"Maribyrnong"
"Moonee Ponds","25 Mantell St",4,"h",2400000,"S","Rendina",6.9,"3039",4,4,2,636,308,1900,"Moonee Valley"
"Doncaster","22 Tandara Av",4,"h",1505000,"S","Barry",13.9,"3108",NA,NA,NA,NA,NA,NA,""
"Reservoir","28 Gloucester St",3,"h",730000,"S","Nelson",11.2,"3073",2,1,1,546,NA,NA,"Darebin"
"Essendon","59 Brewster St",3,"h",1475000,"PI","Paul",8,"3040",3,1,2,388,NA,1910,"Moonee Valley"
"Bulleen","28 Rocklea Rd",4,"h",1505000,"S","Jellis",11.8,"3105",4,3,2,410,NA,2012,"Manningham"
"Yarraville","46 Wilson St",3,"h",908000,"S","hockingstuart",7,"3013",3,2,0,105,NA,1900,"Maribyrnong"
"Altona","24 Wren St",4,"h",845000,"S","hockingstuart",13.8,"3018",4,1,2,745,130,1950,"Hobsons Bay"
"Ivanhoe East","44 Keam St",4,"h",1660000,"S","Fletchers",9,"3079",4,2,2,830,315,1950,"Banyule"
"Elwood","6/14 Shelley St",2,"u",599999,"S","Chisholm",7.7,"3184",2,1,0,0,NA,NA,"Port Phillip"
"Prahran","405/1 Mount St",1,"u",365000,"VB","Beller",4.5,"3181",NA,NA,NA,NA,NA,NA,""
"Malvern East","8a Prior Rd",3,"t",1510000,"S","Jellis",11.2,"3145",NA,NA,NA,NA,NA,NA,""
"Sunshine","51 Ardoyne St",4,"h",700000,"PI","Douglas",12.6,"3020",4,2,1,807,NA,NA,"Brimbank"
"Brunswick","74 Davies St",3,"h",905000,"S","Nelson",5.2,"3056",3,1,1,314,NA,NA,"Moreland"
"Glenroy","97 Loongana Av",4,"h",920000,"S","Professionals",13,"3046",NA,NA,NA,NA,NA,NA,""
"Brighton East","2a Hurlstone St",2,"t",1014000,"S","Buxton",10.7,"3187",2,1,1,267,131,1990,"Bayside"
"Coburg","12 Geake St",3,"h",830000,"PI","Ray",7.8,"3058",3,2,0,559,NA,NA,"Moreland"
